Arbiter,MaxActiveTransactions,PagePolicy,RefreshMaxPostponed,RefreshMaxPulledin,RefreshPolicy,RequestBufferSize,RespQueue,Scheduler,SchedulerBuffer,Energy,Power,Latency,Algorithm
Reorder,21,Open,4,3,AllBank,6,Reorder,FrFcfs,ReadWrite,0.08562,1.70219,5.03e-05,bo
Simple,112,OpenAdaptive,8,1,NoRefresh,4,Reorder,Fifo,ReadWrite,0.08534887,1.69112,0.05046875,bo
Fifo,92,OpenAdaptive,6,4,NoRefresh,8,Reorder,Fifo,ReadWrite,0.08510925,1.70133,5.0025e-05,bo
Reorder,77,ClosedAdaptive,7,7,AllBank,8,Reorder,Fifo,ReadWrite,0.08513992,1.7019,5.0025e-05,bo
Reorder,92,Open,8,6,AllBank,4,Fifo,FrFcfs,ReadWrite,0.08534887,1.69112,0.05046875,bo
Simple,2,Open,2,7,AllBank,3,Reorder,FrFcfsGrp,ReadWrite,0.08638448,1.69186,0.05105875,bo
Simple,54,ClosedAdaptive,4,3,NoRefresh,3,Fifo,FrFcfs,Bankwise,0.08513992,1.7019,5.0025e-05,bo
Reorder,25,ClosedAdaptive,4,6,NoRefresh,4,Fifo,FrFcfs,ReadWrite,0.08513992,1.7019,5.0025e-05,bo
Simple,29,Closed,1,3,NoRefresh,1,Fifo,Fifo,Bankwise,0.45457777,0.96234,0.00047234999,bo
Reorder,105,OpenAdaptive,4,4,AllBank,1,Reorder,FrFcfs,ReadWrite,0.08636955,1.67075,5.1695e-05,bo
Fifo,128,OpenAdaptive,2,8,AllBank,1,Reorder,Fifo,Shared,0.08678205,1.67549,5.1795e-05,bo
Fifo,128,OpenAdaptive,1,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.0863805,1.70334,0.0507125,bo
Fifo,58,Closed,7,8,AllBank,1,Fifo,FrFcfsGrp,Shared,0.46725398,0.97553998,0.00047895499,bo
Fifo,128,Closed,8,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.4523535,0.99946,0.45258376,bo
Fifo,115,Closed,7,6,AllBank,7,Reorder,FrFcfsGrp,Shared,0.45445687,0.99603,0.4562525,bo
Simple,1,Closed,1,1,NoRefresh,8,Reorder,Fifo,Bankwise,0.4405729,0.98688,0.000446415,bo
Reorder,121,Closed,8,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.4523535,0.99946,0.45258376,bo
Reorder,128,Closed,8,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.4523535,0.99946,0.45258376,bo
Reorder,128,Closed,8,8,NoRefresh,8,Reorder,FrFcfsGrp,Shared,0.4405729,0.98688,0.000446415,bo
Fifo,124,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45266175,0.99967,0.45279625,bo
Fifo,123,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45266175,0.99967,0.45279625,bo
Reorder,114,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Reorder,67,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Reorder,105,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Fifo,108,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Reorder,76,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Reorder,93,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Reorder,99,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Reorder,107,Closed,7,7,AllBank,8,Reorder,FrFcfsGrp,ReadWrite,0.45266175,0.99967,0.45279625,bo
Fifo,94,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,95,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,88,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,92,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,89,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,90,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,86,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,62,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,73,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,96,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,77,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,55,Closed,5,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,83,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,80,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,95,Closed,5,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,81,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,71,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,84,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,69,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,70,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,72,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,82,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,109,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,106,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,91,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,115,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,113,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,86,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,97,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,87,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,79,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,84,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,101,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,78,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,103,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,76,Closed,5,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,93,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,88,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,102,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,51,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,96,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,113,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,100,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,118,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,62,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,96,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,77,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,63,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,86,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,105,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,21,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,110,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,50,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,93,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,76,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,104,Closed,5,4,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,60,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,59,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,106,Closed,5,3,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,84,Closed,5,4,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,76,Closed,5,6,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,49,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,14,Closed,5,8,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,26,Closed,5,3,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,38,Closed,5,4,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,121,Closed,5,7,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,85,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,79,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,40,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,84,Closed,5,5,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
Fifo,98,Closed,5,4,AllBank,8,Reorder,FrFcfsGrp,Shared,0.45304897,1.00017,0.00045295499,bo
