K,C,Y,X,R,S,T
24,3,224,224,3,3,1
1,24,56,56,3,3,2
58,24,28,28,1,1,1
58,24,56,56,1,1,1
1,58,56,56,3,3,2
58,58,28,28,1,1,1
58,58,28,28,1,1,1
1,58,28,28,3,3,2
58,58,28,28,1,1,1
58,58,28,28,1,1,1
1,58,28,28,3,3,2
58,58,28,28,1,1,1
58,58,28,28,1,1,1
1,58,28,28,3,3,2
58,58,28,28,1,1,1
1,116,28,28,3,3,2
116,116,14,14,1,1,1
116,116,28,28,1,1,1
1,116,28,28,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
116,116,14,14,1,1,1
1,116,14,14,3,3,2
116,116,14,14,1,1,1
1,232,14,14,3,3,2
232,232,7,7,1,1,1
232,232,14,14,1,1,1
1,232,14,14,3,3,2
232,232,7,7,1,1,1
232,232,7,7,1,1,1
1,232,7,7,3,3,2
232,232,7,7,1,1,1
232,232,7,7,1,1,1
1,232,7,7,3,3,2
232,232,7,7,1,1,1
232,232,7,7,1,1,1
1,232,7,7,3,3,2
232,232,7,7,1,1,1
1024,464,7,7,1,1,1
